item_id,decision,where_now
S01.009,signposting removed,"Sec. 1 P3 opens 'A second question is practical.'"
S01.014,signposting removed,"Sec. 1 P4 'We answer both questions.'"
S01.015,signposting removed (arc labels),"arc content folded into Sec. 1 P4"
S01.022,signposting removed,"contribution list kept (Contributions.)"
S03.008,paraphrased,"Sec. 2.1 P1: 'the first formal comparison showing that an ungated prognostic horizon ranks detectors differently, and misleadingly'"
S05.002,paraphrased,"Sec. 2.3: 'converting a raw score into an alarm with an interpretable, finite-sample guarantee'"
S07.002,paraphrased,"Sec. 2.5: 'for bearing faults, the concern is not borne out'"
S10.006,signposting removed,"-"
S12.007,signposting removed,"Algorithm 1 referenced in Sec. 4.3 P3"
S13.007,paraphrased,"Sec. 4.4 latch-on paragraph: 'the conjunction in Eq. (5) scores it invalid'"
S15.001,paraphrased,"Sec. 6.8 P1 + fig:conformal caption (ConformalPanelA)"
S15.005,paraphrased,"Sec. 6.8 P1: 'On XJTU-SY (Figure 4b) bearings with a substantial stationary pre-onset region...'"
S16.004,paraphrased,"Sec. 4.7: 'isolating whether averaging loses fault-relevant information relative to decimation'"
S18.010,paraphrased,"Sec. 4.9: 'all three runs concordant gives p = 2(1/2)^3 = 0.25'"
S20.002,signposting removed,"Sec. 6 intro keeps 'Section 7 draws the results together'"
S21.001,table narration removed,"tab:imsdet caption defines raw lead + 95% CI over n=3 runs; Sec. 6.1 P1"
S21.007,paraphrased,"Sec. 6.1: 'the intervals are wide at n=3, which is why the XJTU-SY, FEMTO and Ferrara campaigns follow'"
S22.021,paraphrased,"Sec. 6.2: 'At 20% every detector on both datasets stays inside the +-1 h margin but one'"
S23.001,paraphrased,"Sec. 3: 'With n=10 it gives the strongest generalization test here'"
S26.001,table narration removed,"Sec. 6.6 P1 cites Figure 3"
S26.011,paraphrased,"Sec. 6.6: 'Appendix D.1 tests it and Section 7.3 gives the signal-theoretic reason'"
S27.006,paraphrased,"Sec. 6.7: 'there is no significant aggregate-vs-decimate effect on any dataset'"
S27.010,table narration removed,"tab:perbearing caption + Sec. 6.7 per-bearing paragraph"
S27.022,paraphrased,"Sec. 6.7 gated paragraph: 'agrees with the raw one with materially less power, so raw lead stays the primary quantity and the gated version is a robustness check'"
S28.012,paraphrased,"Sec. 6.9: 'The budget tau is a policy input'"
S28.013,paraphrased,"Sec. 6.9: 'the recommendation is not tau-invariant'"
S28.021,paraphrased,"Sec. 6.9 cost-ratio paragraph (the anchor for tau)"
S29.001,paraphrased,"tab:ablation_general caption: six non-sequence detectors, mean over the three runs"
S31.015,paraphrased,"Sec. 6.12: 'regardless of how much run-in history is available ... a statement about a data regime, not the architectures'"
S37.001,signposting removed,"-"
S37.024,paraphrased,"Sec. 8 statistical-conclusion validity: 'we resample runs, the unit of generalization, not seeds'; Sec. 4.9 'resampling seeds would understate uncertainty'"
S44.005,paraphrased,"App. C P1: 'It affects only the single hardest run and is not a tuning choice'; contrast computed within each run"
tab:equiv.cap02,caption merged,"tab:crossds caption: mean with 95% bootstrap CI; equivalent when the CI lies inside [-delta, +delta]"
fig:crossdataset.cap03,moved to text,"Sec. 6.3/6.4/6.7 (null result); forest caption"
tab:imssweep.cap01,caption merged,"tab:imsongc caption"
tab:holm.cap02,caption merged,"tab:crossds caption Holm sentence; p columns of tab:crossds and tab:imsongc"
tab:conformal.cap01,caption merged,"fig:conformal caption: values via ConformalPanelA; 'on or below the diagonal satisfy the guarantee'"
tab:compute.cap02,moved to text,"App. A: 'more than four orders of magnitude below ... (10 s)'"
tab:noise.cap01,caption merged,"tab:mechanism caption (a)"
tab:noise.cap02,caption merged,"tab:mechanism panel (a) header 'Per-run [t1, t2, t3]'"
tab:denoise.cap01,caption merged,"tab:mechanism caption (b)"
tab:phrank.c636,unchanged table text,"row label RMS-trend in tab:imsdet (grep: 13 occurrences in the .tex); PDF glyph mismatch"
tab:hyperparams.c646,unchanged table text,"tab:hyperparams panel (a) row, verbatim in gen/hyperparams_static.tex"
tab:basestats.c762,unchanged table text,"tab:basestats row Peak-to-peak (table not modified)"
tab:basestats.c764,unchanged table text,"tab:basestats row Crest factor (table not modified)"
