src_line,level,title,page_start,page_end,words,sentences,mean_sent,p90_sent
0,front,"Front matter: title, abstract, keywords",1,1,305,11,27.7,49
81,section,Introduction,1,2,920,30,30.6,45
103,section,Related Work,,,0,0,,0
105,subsection,"Prognostics, CBM, and Lead-Time Metrics",2,3,346,14,24.7,47
112,subsection,Anomaly Detectors and Control Charts,3,3,400,13,30.8,56
119,subsection,Uncertainty Quantification and Conformal Prediction,3,3,59,2,29.5,30
122,subsection,Vibration Features,3,3,57,2,28.5,36
125,subsection,SCADA-Based Condition Monitoring,3,4,55,2,27.5,39
128,section,Datasets,4,4,447,15,29.6,52
159,section,Methodology,,,0,0,,0
161,subsection,Problem Formulation and Notation,4,4,98,4,24.5,34
164,subsection,Channel-Invariant Feature Schema,4,5,189,4,47.2,58
169,subsection,Leakage-Free Degradation Onset,5,5,487,15,32.5,49
206,subsection,Onset-Relative Lead-Time Metric,5,6,248,11,22.5,35
226,subsection,Detectors,6,6,388,10,38.6,64
242,subsection,Conformal Calibration,6,6,67,2,33.5,40
245,subsection,SCADA Sampling Sweep,6,6,96,3,32,46
253,subsection,At What Level Coarsening Is Applied,6,7,192,8,24,33
259,subsection,Statistical Protocol,7,7,277,11,25.2,38
267,section,Experimental Setup,7,7,83,4,20.8,28
270,section,Results,7,7,35,3,11.7,21
274,subsection,Lead Time and Confidence Intervals on IMS,7,7,226,6,37.7,54
286,subsection,Sensitivity of the Onset Definition,7,9,731,21,34.7,51
348,subsection,Generalization to XJTU-SY ($n=10$ bearings),9,9,222,5,44.4,63
362,subsection,Generalization to FEMTO/PRONOSTIA ($n=6$ bearings),9,9,181,5,36.2,66
365,subsection,Generalization to University of Ferrara ($n=6$ bearings),9,10,106,3,35.3,48
368,subsection,Aggregate vs Decimate on IMS: a Positive but Inconsistent Median Shift,10,10,258,6,43,51
382,subsection,Multiple-Comparison Correction,10,12,423,13,32.4,52
419,subsection,Conformal Calibration,12,12,297,11,27,39
434,subsection,Lead-Time--vs--False-Alarm Trade-off,12,13,584,20,29.2,57
458,subsection,Feature-Group Ablation,13,13,291,6,48.5,60
482,subsection,Comparison with the Saxena Prognostic Horizon,13,15,357,11,32.4,57
494,subsection,Minimum Training Data for Deep Anomaly Detectors,15,15,497,14,35.5,70
510,section,Discussion,,,0,0,,0
513,subsection,What Changed the Story,15,15,92,2,46,62
516,subsection,Why the IMS Trend Appears but Is Neutral Elsewhere,15,16,255,7,36.4,59
521,subsection,Why Aggregation Preserves What Decimation Loses,16,16,351,14,25.1,47
531,subsection,Practical Implications,16,16,171,4,42.8,61
534,section,Limitations and Threats to Validity,16,17,801,27,29.5,53
552,section,Conclusion,17,18,287,8,35.9,55
556,section,Acknowledgments,18,18,61,3,20.3,24
559,section,Data and Code Availability,18,18,520,11,47.3,66
-1,section*,References,18,20,892,100,8.1,13
569,section,Appendix A: Reproducibility Settings,20,21,127,3,42.3,51
613,section,Appendix B: The 49-Dimensional Invariant Feature Space,21,21,109,3,36.3,65
636,section,Appendix C: IMS Test-3 Relabeling Justification,21,23,606,20,30.3,47
670,section,Appendix D: Mechanism Analysis and ONGC Case Study,,,0,0,,0
672,subsection,D.1 Generic Smoothing vs.\ Historian Averaging,23,24,431,12,35.9,60
683,subsection,D.2 Single-Asset ONGC Case Study,24,24,220,7,31.4,42
