item_id,item_type,group_id,status,note,context
S00.001,sentence,,located,,"A Latch-On-Resistant, False-Alarm-Gated Lead-Time Metric for Bearing Anomaly Detection — and What It Reveals About SCADA-Rate Logging Ansh Goyal1 1 Jaypee Institute of Information Technology, Noida, I"
S00.001.n01,number,1,located,,"A Latch-On-Resistant, False-Alarm-Gated Lead-Time Metric for Bearing Anomaly Detection — and What It Reveals About SCADA-Rate Logging Ansh Goyal1 1 Jaypee Institute of Information Technology, Noida, I"
S00.002,sentence,,located,,"We argue that lead time, the warning interval before failure, is the operationally decisive quantity, and we make it the primary evaluation object through a latch-on-resistant, false-alarm-gated metri"
S00.003,sentence,,located,,"Warning time is credited only when the pre-onset false-alarm rate lies within a stated budget τ , so a degenerate constant-on detector is provably scored invalid."
S00.004,sentence,,located,,We then ask whether the bin-averaged logging of a SCADA historian destroys detection lead time relative to simple decimation.
S00.005,sentence,,located,,"Eleven detectors (four statistical process control (SPC) charts, Isolation Forest, three deep reconstruction autoencoders, a root-mean-square (RMS) trend baseline, and two one-class models) are assess"
S00.005.n01,number,10,located,,"Eleven detectors (four statistical process control (SPC) charts, Isolation Forest, three deep reconstruction autoencoders, a root-mean-square (RMS) trend baseline, and two one-class models) are assess"
S00.005.n02,number,6,located,,"Eleven detectors (four statistical process control (SPC) charts, Isolation Forest, three deep reconstruction autoencoders, a root-mean-square (RMS) trend baseline, and two one-class models) are assess"
S00.005.n03,number,6,located,,"Eleven detectors (four statistical process control (SPC) charts, Isolation Forest, three deep reconstruction autoencoders, a root-mean-square (RMS) trend baseline, and two one-class models) are assess"
S00.005.n04,number,3,located,,"Eleven detectors (four statistical process control (SPC) charts, Isolation Forest, three deep reconstruction autoencoders, a root-mean-square (RMS) trend baseline, and two one-class models) are assess"
S00.006,sentence,,located,,"On IMS the variance-sensitive charts show a positive median shift (3σ +15.1 h), but the direction is not consistent across the three runs and does not survive Holm correction across the N = 44 family "
S00.006.n01,number,15.1,located,,"On IMS the variance-sensitive charts show a positive median shift (3σ +15.1 h), but the direction is not consistent across the three runs and does not survive Holm correction across the N = 44 family "
S00.006.n02,number,44,located,,"On IMS the variance-sensitive charts show a positive median shift (3σ +15.1 h), but the direction is not consistent across the three runs and does not survive Holm correction across the N = 44 family "
S00.006.n03,number,1.00,located,,"On IMS the variance-sensitive charts show a positive median shift (3σ +15.1 h), but the direction is not consistent across the three runs and does not survive Holm correction across the N = 44 family "
