item_id,item_type,group_id,value,section,location_kind,location,context,claim_ids,protected
S00.001,sentence,,,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords","A Latch-On-Resistant, False-Alarm-Gated Lead-Time Metric for Bearing Anomaly Detection — and What It Reveals About SCADA-Rate Logging Ansh Goyal1 1 Jaypee Institute of Information Technology, Noida, India anshgoyal500@gmail.com ABSTRACT Bearing anomaly detectors are usually scored by classification accuracy, which ignores how early a warning arrives and at what false-alarm cost.",C001;C003;C004,
S00.001.n01,number,1,1,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords","A Latch-On-Resistant, False-Alarm-Gated Lead-Time Metric for Bearing Anomaly Detection — and What It Reveals About SCADA-Rate Logging Ansh Goyal1 1 Jaypee Institute of Information Technology, Noida, India anshgoyal500@gmail.com ABSTRACT Bearing anomaly detectors are usually scored by classification accuracy, which ignores how early a warning arrives and at what false-alarm cost.",,
S00.002,sentence,,,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords","We make lead time the primary evaluation object with a latch-on-resistant, false-alarm-gated metric: warning time counts only when the pre-onset false-alarm rate is within a budget τ , so a constant-on detector is provably invalid.",C002;C003;C004;C084,
S00.003,sentence,,,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords",With it we test whether a SCADA historian’s bin-averaged logging destroys lead time relative to decimation.,C007,
S00.004,sentence,,,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords","Eleven detectors—four statistical process control (SPC) charts, Isolation Forest, three deep reconstruction autoencoders, a root-mean-square (RMS) trend baseline and two one-class models—run under a controlled sampling sweep on four inferential datasets: XJTU-SY (n = 10), FEMTO/PRONOSTIA (n = 6), University of Ferrara (n = 6) and NASA IMS (n = 3).",C011;C013,
S00.004.n01,number,10,10,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords","Eleven detectors—four statistical process control (SPC) charts, Isolation Forest, three deep reconstruction autoencoders, a root-mean-square (RMS) trend baseline and two one-class models—run under a controlled sampling sweep on four inferential datasets: XJTU-SY (n = 10), FEMTO/PRONOSTIA (n = 6), University of Ferrara (n = 6) and NASA IMS (n = 3).",,
S00.004.n02,number,6,6,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords","Eleven detectors—four statistical process control (SPC) charts, Isolation Forest, three deep reconstruction autoencoders, a root-mean-square (RMS) trend baseline and two one-class models—run under a controlled sampling sweep on four inferential datasets: XJTU-SY (n = 10), FEMTO/PRONOSTIA (n = 6), University of Ferrara (n = 6) and NASA IMS (n = 3).",,
S00.004.n03,number,6,6,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords","Eleven detectors—four statistical process control (SPC) charts, Isolation Forest, three deep reconstruction autoencoders, a root-mean-square (RMS) trend baseline and two one-class models—run under a controlled sampling sweep on four inferential datasets: XJTU-SY (n = 10), FEMTO/PRONOSTIA (n = 6), University of Ferrara (n = 6) and NASA IMS (n = 3).",,
S00.004.n04,number,3,3,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords","Eleven detectors—four statistical process control (SPC) charts, Isolation Forest, three deep reconstruction autoencoders, a root-mean-square (RMS) trend baseline and two one-class models—run under a controlled sampling sweep on four inferential datasets: XJTU-SY (n = 10), FEMTO/PRONOSTIA (n = 6), University of Ferrara (n = 6) and NASA IMS (n = 3).",,
S00.005,sentence,,,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords",On IMS the variance-sensitive charts shift positively (3σ +15.1 h) but inconsistently across runs; no test survives Holm correction (N = 44; 0 of 44).,C039;C041;C042;C043,
S00.005.n01,number,15.1,+15.1,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords",On IMS the variance-sensitive charts shift positively (3σ +15.1 h) but inconsistently across runs; no test survives Holm correction (N = 44; 0 of 44).,,
S00.005.n02,number,44,44,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords",On IMS the variance-sensitive charts shift positively (3σ +15.1 h) but inconsistently across runs; no test survives Holm correction (N = 44; 0 of 44).,,
S00.005.n03,number,0,0,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords",On IMS the variance-sensitive charts shift positively (3σ +15.1 h) but inconsistently across runs; no test survives Holm correction (N = 44; 0 of 44).,,
S00.005.n04,number,44,44,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords",On IMS the variance-sensitive charts shift positively (3σ +15.1 h) but inconsistently across runs; no test survives Holm correction (N = 44; 0 of 44).,,
S00.006,sentence,,,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords","Against a pre-specified ±1 h margin, the resolution at which a planner can act, the difference is equivalent to zero in all 33 cells of the three multi-bearing campaigns, none favouring decimation beyond -0.45 h; IMS is too wide to decide in 9 of 11 cells and favours aggregation beyond the margin in 2.",C045;C046;C047;C049,
S00.006.n01,number,±1,±1,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords","Against a pre-specified ±1 h margin, the resolution at which a planner can act, the difference is equivalent to zero in all 33 cells of the three multi-bearing campaigns, none favouring decimation beyond -0.45 h; IMS is too wide to decide in 9 of 11 cells and favours aggregation beyond the margin in 2.",,
S00.006.n02,number,33,33,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords","Against a pre-specified ±1 h margin, the resolution at which a planner can act, the difference is equivalent to zero in all 33 cells of the three multi-bearing campaigns, none favouring decimation beyond -0.45 h; IMS is too wide to decide in 9 of 11 cells and favours aggregation beyond the margin in 2.",,
S00.006.n03,number,-0.45,-0.45,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords","Against a pre-specified ±1 h margin, the resolution at which a planner can act, the difference is equivalent to zero in all 33 cells of the three multi-bearing campaigns, none favouring decimation beyond -0.45 h; IMS is too wide to decide in 9 of 11 cells and favours aggregation beyond the margin in 2.",,
S00.006.n04,number,9,9,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords","Against a pre-specified ±1 h margin, the resolution at which a planner can act, the difference is equivalent to zero in all 33 cells of the three multi-bearing campaigns, none favouring decimation beyond -0.45 h; IMS is too wide to decide in 9 of 11 cells and favours aggregation beyond the margin in 2.",,
S00.006.n05,number,11,11,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords","Against a pre-specified ±1 h margin, the resolution at which a planner can act, the difference is equivalent to zero in all 33 cells of the three multi-bearing campaigns, none favouring decimation beyond -0.45 h; IMS is too wide to decide in 9 of 11 cells and favours aggregation beyond the margin in 2.",,
S00.006.n06,number,2,2,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords","Against a pre-specified ±1 h margin, the resolution at which a planner can act, the difference is equivalent to zero in all 33 cells of the three multi-bearing campaigns, none favouring decimation beyond -0.45 h; IMS is too wide to decide in 9 of 11 cells and favours aggregation beyond the margin in 2.",,
S00.007,sentence,,,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords",A single gas-turbine record of the Oil and Natural Gas Corporation (ONGC) cannot be tested.,,
S00.008,sentence,,,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords","The powered campaigns are short-lived bearings, on which an IMS-sized effect could not appear, so the null bounds the effect at minutes, not hours.",C019,
S00.009,sentence,,,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords","On these bearings deep models do not overtake the charts at any training fraction in [0.20, 0.60]; long-runway assets remain open.",C051,
S00.009.n01,number,0.20,0.20,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords","On these bearings deep models do not overtake the charts at any training fraction in [0.20, 0.60]; long-runway assets remain open.",,
S00.009.n02,number,0.60,0.60,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords","On these bearings deep models do not overtake the charts at any training fraction in [0.20, 0.60]; long-runway assets remain open.",,
S00.010,sentence,,,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords",Code and results: https://github.com/ Ansh-Goyal01/Scada-Leadtime-Benchmark.,C054,
S00.011,sentence,,,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords","Keywords: bearing anomaly detection, lead-time metric, false-alarm gating, SCADA historian, prognostic horizon, statistical process control, conformal prediction",C056,
S01.001,sentence,,,Introduction,body,Introduction,"Condition-based maintenance (CBM) and prognostics and health management (PHM) replace fixed-interval servicing with data-driven intervention, reducing both unplanned downtime and unnecessary maintenance (Jardine, Lin, & Banjevic, 2006; Lee et al., 2014; Lei et al., 2018).",,
S01.002,sentence,,,Introduction,body,Introduction,"Rollingelement bearings are the most common failure mode in rotating machinery, and statistical control charts, classical machine learning and deep models are all used to detect incipient bearing faults from vibration (Randall & Antoni, 2011; Zhao et al., 2019).",,
S01.003,sentence,,,Introduction,body,Introduction,"A warning delivered hours or days before a catastrophic seizure lets an operator schedule an orderly shutdown, order parts and avoid secondary damage to shafts, housings and couplings.",,
S01.004,sentence,,,Introduction,body,Introduction,"Yet most published detectors are evaluated with classification metrics—accuracy, precision/recall and receiver operating characteristic area under the curve (ROC-AUC)—which answer “was the failure detected?” but not the planner’s question: “how many hours of warning did we get, and how often did the system cry wolf?",C001,
S01.005,sentence,,,Introduction,body,Introduction,A detector that warns 48 h ahead at a low nuisance-alarm rate is operationally distinct from one that fires minutes before breakdown or one that alarms every day.,,
S01.005.n01,number,48,48,Introduction,body,Introduction,A detector that warns 48 h ahead at a low nuisance-alarm rate is operationally distinct from one that fires minutes before breakdown or one that alarms every day.,,
S01.006,sentence,,,Introduction,body,Introduction,"Time-aware prognostic metrics have long been advocated (Saxena et al., 2008; Saxena, Celaya, Saha, Saha, & Goebel, 2010; Goebel, Saha, & Saxena, 2011), yet lead time is rarely the headline quantity in detector benchmarks, and ad hoc definitions are easy to game: without a false-alarm constraint, a detector that alarms from the first sample—a “latchon” exploit—earns the full run length as lead time while being operationally useless.",C004;C056,
S01.007,sentence,,,Introduction,body,Introduction,A second question is practical.,,
S01.008,sentence,,,Introduction,body,Introduction,"Industrial Supervisory Control and Data Acquisition (SCADA) historians rarely store raw high-rate vibration; they keep decimated or time-averaged summaries at a logging interval of seconds to minutes (Tautz-Weinert & Watson, 2017), not the tens of kilohertz at which accelerometers sample.",,
S01.009,sentence,,,Introduction,body,Introduction,"The folklore concern is that bin-averaging these summaries washes out the excursions that signal an incipient spall, so that long-term storage would blind any prognostic algorithm that consumes the historian.",C007,
S01.010,sentence,,,Introduction,body,Introduction,To our knowledge this has not been tested with a sound lead-time metric across multiple datasets.,,
S01.011,sentence,,,Introduction,body,Introduction,"If averaging is harmless, operators can store compact, cheap, bin-averaged streams without sacrificing warning time; if it is harmful, prognostics-grade monitoring requires separate high-rate acquisition.",C008,
S01.012,sentence,,,Introduction,body,Introduction,We answer both questions.,,
S01.013,sentence,,,Introduction,body,Introduction,"Lead time gated by a leakage-free pre-onset false-alarm rate is the primary metric, so the latchon detector is provably scored invalid rather than winning.",C002;C023,
S01.014,sentence,,,Introduction,body,Introduction,"Under it we run a controlled sampling sweep that holds window content and alarm persistence constant, over nine headline detectors (four SPC charts, Isolation Forest, three deep reconstruction autoencoders and an RMS-trend baseline) plus two additionally evaluated one-class models, Deep SVDD (deep support vector data description) and a one-class support vector machine (SVM), on four inferential run-to-failure datasets—XJTU-SY (n = 10), FEMTO/PRONOSTIA (n = 6), University of Ferrara (n = 6) and NASA IMS (n = 3)— and a real single-asset ONGC gas-turbine SCADA record analyzed as a case study (Appendix D.2), with run-level significance tests (the run, not the within-run sampling factor, is the unit of inference) and Holm correction.",C012;C013;C014;C033;C035;C039,
S01.014.n01,number,10,10,Introduction,body,Introduction,"Under it we run a controlled sampling sweep that holds window content and alarm persistence constant, over nine headline detectors (four SPC charts, Isolation Forest, three deep reconstruction autoencoders and an RMS-trend baseline) plus two additionally evaluated one-class models, Deep SVDD (deep support vector data description) and a one-class support vector machine (SVM), on four inferential run-to-failure datasets—XJTU-SY (n = 10), FEMTO/PRONOSTIA (n = 6), University of Ferrara (n = 6) and NASA IMS (n = 3)— and a real single-asset ONGC gas-turbine SCADA record analyzed as a case study (Appendix D.2), with run-level significance tests (the run, not the within-run sampling factor, is the unit of inference) and Holm correction.",,
