item_id,item_type,group_id,value,section,location_kind,location,context,claim_ids,protected
S00.001,sentence,,,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords","A Latch-On-Resistant, False-Alarm-Gated Lead-Time Metric for Bearing Anomaly Detection — and What It Reveals About SCADA-Rate Logging Ansh Goyal1 1 Jaypee Institute of Information Technology, Noida, India anshgoyal500@gmail.com ABSTRACT Anomaly detectors for rolling-element-bearing prognostics are typically evaluated by classification accuracy, which answers whether a fault is detected but not how early or at what false-alarm cost.",C001;C003;C004,
S00.001.n01,number,1,1,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords","A Latch-On-Resistant, False-Alarm-Gated Lead-Time Metric for Bearing Anomaly Detection — and What It Reveals About SCADA-Rate Logging Ansh Goyal1 1 Jaypee Institute of Information Technology, Noida, India anshgoyal500@gmail.com ABSTRACT Anomaly detectors for rolling-element-bearing prognostics are typically evaluated by classification accuracy, which answers whether a fault is detected but not how early or at what false-alarm cost.",,
S00.002,sentence,,,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords","We argue that lead time, the warning interval before failure, is the operationally decisive quantity, and we make it the primary evaluation object through a latch-on-resistant, false-alarm-gated metric.",C002;C003;C004;C084,
S00.003,sentence,,,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords","Warning time is credited only when the pre-onset false-alarm rate lies within a stated budget τ , so a degenerate constant-on detector is provably scored invalid.",C003;C004,
S00.004,sentence,,,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords",We then ask whether the bin-averaged logging of a SCADA historian destroys detection lead time relative to simple decimation.,C007,
S00.005,sentence,,,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords","Eleven detectors (four statistical process control (SPC) charts, Isolation Forest, three deep reconstruction autoencoders, a root-mean-square (RMS) trend baseline, and two one-class models) are assessed under a controlled sampling sweep across four inferential run-to-failure datasets: XJTU-SY (n = 10), FEMTO/PRONOSTIA (n = 6), University of Ferrara (n = 6), and NASA IMS (n = 3).",C011;C013,
S00.005.n01,number,10,10,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords","Eleven detectors (four statistical process control (SPC) charts, Isolation Forest, three deep reconstruction autoencoders, a root-mean-square (RMS) trend baseline, and two one-class models) are assessed under a controlled sampling sweep across four inferential run-to-failure datasets: XJTU-SY (n = 10), FEMTO/PRONOSTIA (n = 6), University of Ferrara (n = 6), and NASA IMS (n = 3).",,
S00.005.n02,number,6,6,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords","Eleven detectors (four statistical process control (SPC) charts, Isolation Forest, three deep reconstruction autoencoders, a root-mean-square (RMS) trend baseline, and two one-class models) are assessed under a controlled sampling sweep across four inferential run-to-failure datasets: XJTU-SY (n = 10), FEMTO/PRONOSTIA (n = 6), University of Ferrara (n = 6), and NASA IMS (n = 3).",,
S00.005.n03,number,6,6,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords","Eleven detectors (four statistical process control (SPC) charts, Isolation Forest, three deep reconstruction autoencoders, a root-mean-square (RMS) trend baseline, and two one-class models) are assessed under a controlled sampling sweep across four inferential run-to-failure datasets: XJTU-SY (n = 10), FEMTO/PRONOSTIA (n = 6), University of Ferrara (n = 6), and NASA IMS (n = 3).",,
S00.005.n04,number,3,3,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords","Eleven detectors (four statistical process control (SPC) charts, Isolation Forest, three deep reconstruction autoencoders, a root-mean-square (RMS) trend baseline, and two one-class models) are assessed under a controlled sampling sweep across four inferential run-to-failure datasets: XJTU-SY (n = 10), FEMTO/PRONOSTIA (n = 6), University of Ferrara (n = 6), and NASA IMS (n = 3).",,
S00.006,sentence,,,"Front matter: title, abstract, keywords",body,"Front matter: title, abstract, keywords","On IMS the variance-sensitive charts show a positive median shift (3σ +15.1 h), but the direction is not consistent across the three runs and does not survive Holm correction across the N = 44 family (smallest adjusted p = 1.00).",C039;C041;C042;C043,
